organization,address,zip,main_phone,hours,payment,age_range_served,other_languages,behavioral_services_types,crisis_services,grief_services_availability,location
The Family Institute at Northwestern University,"8 S. Michican Ave., 10th Floor",60603,857-733-4301,Weekdays: Monday - Friday 8am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish;,Behavioral Health Consulting; Community Support Teams; Individual Psychotherapy - short term;,FALSE,FALSE,POINT (-87.624864982 41.881886987)
The Family Institute at Northwestern University - The Bette D. Harris Family & Child Clinic,618 Library Pl.,60201,857-733-4300,Weekdays: Monday - Friday 8am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish;,Behavioral Health Consulting; Community Support Teams; Individual Psychotherapy - short term;,FALSE,FALSE,POINT (-87.678109011 42.054730003)
Thresholds - Bridge South,722 W. 47th St.,60609,773-572-5500,Weekdays: Monday - Thursday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,0,Assertive Community Treatment; Case Management/Care Coordination; Community Support Individual; Community Support Teams; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services;,FALSE,FALSE,POINT (-87.644076975 41.808187008)
Thresholds - Bridge Southeast,6337 S. Woodlawn Ave.,60637,773-572-5500,Weekdays: Monday - Thursday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,0,Assertive Community Treatment; Case Management/Care Coordination; Community Support Individual; Community Support Teams; Group Therapy or Support Groups;  Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services;,FALSE,FALSE,POINT (-87.595850019 41.779675)
Thresholds - Bridge Southwest,3638 S. Kedzie Ave.,60632,773-572-5500,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,0,Individual Psychotherapy - short term;Individual Psychotherapy - long term; Group Therapy or Support Groups; Assertive Community Treatment; Community Support Teams; Peer Support Services; Case Management/Care Coordination; Community Support Individual;,FALSE,FALSE,POINT (-87.70628503 41.827236014)
Thresholds - Emerge Mindstrong,2847 N. Clark St.,60657,773-572-5500,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,0,Case Management/Care Coordination; Community Support Teams; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,FALSE,FALSE,POINT (-87.645629974 41.934273002)
Thresholds - Empowerment Center,1147 W. Balmoral Ave.,60640,0,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,0,Case Management/Care Coordination; Community support individual; Peer Support Services,FALSE,FALSE,POINT (-87.660338349 41.979896788)
Thresholds - North Ravenswood,4101 N. Ravenswood Ave.,60613,775-572-5500,"Weekdays: Monday - Friday 9am - 5pm
Weekdays: Sunday 9am - 5pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,0,Assertive Community Treatment;Case Management/Care Coordination;Community Support Individual; Community Support Teams; Group Therapy or Support Groups; Peer Support Services; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,FALSE,FALSE,POINT (-87.673403997 41.95630299)
Thresholds - Ogden,2240 W. Ogden Ave.,60612,773-572-5500,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,0,Assertive Community Treatment; Case Management/Care Coordination; Community Support Individual; Community Support Teams; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services;,FALSE,FALSE,POINT (-87.682387972 41.868156005)
Thresholds - Schwartz Center,4423 N. Ravenswood Ave.,60640,773-572-5500,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,0,Assertive Community Treatment;Case Management/Care Coordination;Community Support Individual; Community Support Teams; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services;,FALSE,FALSE,POINT (-87.673564007 41.962303008)
Thresholds - Substance Use Treatment Center,3015 W. Harrison St.,60612,0,Weekdays: Monday - Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,0,Case Management/Care Coordination; Community Support Teams; Intensive Outpatient Program; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services;,FALSE,FALSE,POINT (-87.701627038 41.873469)
Trellus - Bezazian Branch of Chicago Public Library,1226 W Ainslie St,60640,(312) 744-0019,Fridays 10am - 12pm,"Services Free as needed, available to patrons of the Library.",5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Tagolog,"Group therapy, Walk up Mental Health Supports, Individual services, medicaid support",FALSE,FALSE,POINT (-87.660752017 41.971581984)
Trellus - Kilmer Elementary School,6700 N. Greenview,60626,773-293-8430,Mondays 9 am - 3 pm,Services provided to youth and families at Kilmer Elementary School,6-13 years old,"Spanish (intermediate), English",Individual Therapy,FALSE,TRUE,POINT (-87.668506032 42.004306988)
Trellus - Peterson Office,2838 W. Peterson Ave.,60659,773-293-8430,Weekdays: Monday - Friday 8am - 6pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Arabic; Vietnamese; Tagalog,Group Therapy or Support Groups; Individual Psychotherapy - long term,FALSE,FALSE,POINT (-87.701025972 41.990692011)
Trellus - Sulzer Regional Branch of Chicago Public Library,4455 N. Lincoln Ave,60625,(312) 744-7616,Tuesdays 5pm-7pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,"Group therapy, Walk up Mental Health Supports, Individual services, medicaid support",FALSE,FALSE,POINT (-87.68438999 41.962757014)
Trellus - World Relief,3507 W Lawrence,60625,773-583-9191,Thursdays 10am-5pm,Individual Services provided to youth and individuals at World Relief,"6-13, 25-64 years old",Spanish,Individual Therapy,FALSE,FALSE,POINT (-87.716111622 41.968313685)
Trellus- Passages Charter School,1643 W. Bryn Mawr Ave,60640,773-433-3540,"Tuesdays and Thursdays, 9 am - 4 pm",Services provided to youth and families at Passages Charter School and surrounding area,"6-13, 25-64 years old","Hakke, english","Individual Therapy, Group, Psychoeducation workshops",FALSE,TRUE,POINT (-87.672049984 41.982965992)
Trilogy - Albany Park,3737 W. Lawrence Ave.,60625,773-765-2543,Weekdays: Monday - Friday 8am - 8pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,FALSE,TRUE,POINT (-87.722074021 41.967981999)
Trilogy - Main Office,1400 W. Greenleaf Ave.,60626,773-508-6100,Weekdays: Monday - Friday 8am - 4:30pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,Spanish,Assertive Community Treatment; Case Management/Care Coordination;Community Support Teams; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services; Psychiatry;,TRUE,TRUE,POINT (-87.666520024 42.01058101)
University of Illinois Chicago Mile Square - Auburn Gresham Health and Wellness Center,839 W. 79th St.,60620,312-492-1220,"Weekdays: Monday - Friday 8am - 5pm
Weekends: Saturday 8am - 11 am (In-clinic); 11:30am - 5:30pm (Telehealth only)",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting;Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.645733993 41.750378991)
University of Illinois Chicago Mile Square - Back of the Yards,4630 S. Bishop St.,60609,312-996-2000,"Weekdays: Monday, Wednesday, Thursday, & Friday 7am - 5pm; Tuesday 9am - 5:30pm
Weekends: Saturday (In-clinic) 8am - 11am; (Telehealth only) 11:30am - 5:30 pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old; 5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Psychiatry;,FALSE,FALSE,POINT (-87.661699004 41.809491986)
University of Illinois Chicago Mile Square - Davis Health and Wellness Center,3050 W. 39th Pl.,60632,312-413-3090,"Weekdays: Monday, Tuesday, & Wednesday 8:30am - 4:30pm; Thursday 10am-6pm; Friday 8:30am - 12:30pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Community Support Teams; Family Psychotherapy;  Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Intensive Outpatient Program; Peer Support Services; Psychological Testing;,FALSE,TRUE,POINT (-87.701642042 41.822204987)
University of Illinois Chicago Mile Square - Davis-Brighton Park Satellite,3825 S Washtenaw Ave,60632,312-996-2000,Weekdays: Monday-Friday 8am-4pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;Older than 64 years old;25-64 years old;18-24 years old,0,Family Psychotherapy;Group Therapy or Support Groups;Individual Psychotherapy - long term;Individual Psychotherapy - short term;Behavioral Health Consulting;Case Management/Care Coordination;,FALSE,TRUE,POINT (-87.691761035 41.823570985)
University of Illinois Chicago Mile Square - Dr. Cynthia Barnes-Boyd/Drake Health and Wellness Center,2710 S. Dearborn St.,60616,312-355-5746,Weekdays: Monday - Thursday 8:30am - 4:30pm; Friday 8:30am - 12:30pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,0,Behavioral Health Consulting; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term;Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.628727028 41.843461996)
University of Illinois Chicago Mile Square - Englewood,641 W 63rd St.,60621,312-996-2000,Weekdays: Monday-Friday 9am-5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,FALSE,TRUE,POINT (-87.641298961 41.779505979)
University of Illinois Chicago Mile Square - Englewood Health and Wellness Center,6835 S. Normal Blvd.,60621,312-355-5901,Weekdays: Monday - Thursday 8:30am - 4:30pm; Friday 8:30am -12:30pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,0,Behavioral Health Consulting; Case Management/Care Coordination; Community Support Teams; Family Psychotherapy;  Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Intensive Outpatient Program; Peer Support Services; Psychological Testing;,FALSE,TRUE,POINT (-87.636321032 41.770261997)
University of Illinois Chicago Mile Square - Englewood STEM Cook Satellite,8150 S Bishop St.,60620,312-996-2000,Weekdays: Monday-Friday 8am-4pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;Older than 64 years old;25-64 years old;18-24 years old,0,Family Psychotherapy;Group Therapy or Support Groups;Individual Psychotherapy - long term;Individual Psychotherapy - short term;Behavioral Health Consulting;Case Management/Care Coordination;,FALSE,TRUE,POINT (-87.660074005 41.745491001)
University of Illinois Chicago Mile Square - Main,1220 S. Wood St.,60608,312-996-2000,"Weekdays: Monday - Friday 8am - 8pm
Weekends: Saturday (In-clinic) 8am - 11am; (Telehealth only) 11:30am - 5:30pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Mandarin; Spanish,Behavioral Health Consulting; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,TRUE,TRUE,POINT (-87.671418314 41.866664852)
University of Illinois Chicago Mile Square - National Teacher's Academy Health and Wellness Center,55 W. Cermak Rd.,60616,312-413-3880,Weekdays: Monday - Friday 8:30am - 4:30pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;Older than 64 years old;18-24 years old; 25-64 years old;18-24 years old;,0,Family Psychotherapy;Group Therapy or Support Groups;Individual Psychotherapy - long term;Individual Psychotherapy - short term;Behavioral Health Consulting;Case Management/Care Coordination;,FALSE,TRUE,POINT (-87.628597025 41.851856011)
University of Illinois Chicago Mile Square - South Shore,7037 S. Stony Island Ave.,60649,312-355-5590,"Weekdays: Monday 8am - 7pm; Tuesdays 9:30am - 6pm; Wednesday, Thursday, & Friday 8am - 6pm
Weekends: Saturday (In-clinic) 8am - 11am; (Telehealth only) 11:30am - 5:30pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,FALSE,TRUE,POINT (-87.585414968 41.766741011)
YWCA - Roseland Center,839 W. 115th St.,60643,773-302-2040,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old; 25-64 years old;Older than 64 years old,Spanish,Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term;,FALSE,FALSE,POINT (-87.643200612 41.685008395)
